Date,Year,Month,Month_Sin,Month_Cos,Rainfall,Avg_Temperature,Humidity,Festive_Season,Public_Holidays,Public_Awareness_Level,Dengue,Road_Accidents,Heart_Patients,Hadisi_Anthuru,Tuberculosis,Cold,Fever
2016-01-01,2016,1,0.49999999999999994,0.8660254037844387,215.3908375904976,31.38910815839636,78.4149585231346,0,1,0.8849571989073016,151,75,100,51,45,86,101
2016-02-01,2016,2,0.8660254037844386,0.5000000000000001,157.3515336082808,28.59061254520526,83.43078115491059,0,1,0.8210594615678544,138,71,109,45,46,75,92
2016-03-01,2016,3,1.0,6.123233995736766e-17,118.10064441679614,29.4027943109361,86.00997455796092,0,1,0.819164352355569,123,62,98,41,46,61,80
2016-04-01,2016,4,0.8660254037844387,-0.4999999999999998,91.34120328940075,25.098148937207718,85.39176442618462,1,7,0.6343465798974852,120,214,122,64,45,64,82
2016-05-01,2016,5,0.49999999999999994,-0.8660254037844387,46.932890429106635,25.988780882446953,77.59940718588845,0,2,0.6074097511688326,89,64,89,34,43,49,69
2016-06-01,2016,6,1.2246467991473532e-16,-1.0,55.55820296319412,27.190455625809978,74.33099752831811,0,1,0.5367035359653531,84,59,82,35,41,48,69
2016-07-01,2016,7,-0.4999999999999997,-0.8660254037844388,115.74806693728172,24.411387463515997,69.05010937767808,0,1,0.4281877483254636,108,60,92,41,41,73,90
2016-08-01,2016,8,-0.8660254037844385,-0.5000000000000004,152.08602281144508,25.933702270397227,65.0330874970082,0,2,0.8323611881275266,83,80,93,45,40,80,96
2016-09-01,2016,9,-1.0,-1.8369701987210297e-16,184.57256786568993,28.09965136508764,68.53090848056219,0,1,0.8064505045650388,97,73,95,48,41,85,99
2016-10-01,2016,10,-0.8660254037844386,0.5000000000000001,239.64264521050913,28.996524345883802,67.14970938407752,0,1,0.8998588366430653,121,78,98,53,43,99,111
2016-11-01,2016,11,-0.5000000000000004,0.8660254037844384,242.60354355785637,29.047412780287182,67.47823209132991,0,2,0.8983184185369527,134,97,102,54,42,100,112
2016-12-01,2016,12,-2.4492935982947064e-16,1.0,233.94379637901434,31.068562974806028,76.83572389410955,1,4,0.6777158528013137,162,199,121,78,44,92,106
2017-01-01,2017,1,0.49999999999999994,0.8660254037844387,211.5695593688196,29.53577249762721,84.24431239402527,0,2,0.7844937075902553,158,89,114,51,45,89,103
2017-02-01,2017,2,0.8660254037844386,0.5000000000000001,130.7262944559816,29.973592430635183,85.72518455894668,0,1,0.872382864941214,121,59,101,43,44,64,82
2017-03-01,2017,3,1.0,6.123233995736766e-17,82.51154885759027,27.0805757657662,81.96126006809197,0,2,0.8248236953387058,105,73,103,38,44,57,76
2017-04-01,2017,4,0.8660254037844387,-0.4999999999999998,60.061442504665784,28.049934405017538,82.69178589211188,1,5,0.5236740508715989,114,172,115,61,41,47,68
2017-05-01,2017,5,0.49999999999999994,-0.8660254037844387,35.25272424494032,24.618670496310447,82.53382229837325,0,2,0.6252720676550467,82,63,100,33,42,49,69
2017-06-01,2017,6,1.2246467991473532e-16,-1.0,63.783967306360935,24.677938483794325,73.58466106876244,0,1,0.4645797075757475,94,53,96,36,41,57,76
2017-07-01,2017,7,-0.4999999999999997,-0.8660254037844388,78.43951357185269,26.215441006016352,70.88763885629245,0,2,0.8770255136293612,54,74,86,37,41,57,77
